FISCAL_YR,Channel,total_net_sales,total_custs,FISCAL_QTR,FISCAL_MO,recency_net_sales_total,recency_cust_total,Recency,chan_rec_sales_pct,chan_rec_cust_pct,chan_rec_seg_sales,chan_rec__seg_custs,Customer_Type,Segment,chan_rec_sales,chan_rec__custs,sales_pct,cust_pct,d_p_cust
2018,D,14887841.2669297,165088,2,6,556746.773444891,8313,0,3.73960712948753e-002,5.03549622019771e-002,521993.793375969,7578,NTB_1,1,581382.263652749,7978,0.8978496,0.9498621,68.8827914193678
2018,D,14887841.2669297,165088,2,6,556746.773444891,8313,0,3.73960712948753e-002,5.03549622019771e-002,59388.4702767804,400,NTB__Omni,_Omni,581382.263652749,7978,0.1021505,5.013788e-002,148.471175691951
2018,D,14047948.0519474,148762,3,7,539621.233332872,7849,0,3.84128152622311e-002,5.27621301138732e-002,505776.10311842,7203,NTB_1,1,556989.173455134,7533,0.9080538,0.9561927,70.2174237287824
2018,D,14047948.0519474,148762,3,7,539621.233332872,7849,0,3.84128152622311e-002,5.27621301138732e-002,51213.0703367144,330,NTB__Omni,_Omni,556989.173455134,7533,9.194626e-002,4.380725e-002,155.191122232468
2018,D,22840199.4828761,181300,3,8,1232647.37761211,12470,0,5.39683280146596e-002,6.87810259238831e-002,1153497.33711195,11491,NTB_1,1,1287333.17757735,12077,0.8960364,0.951478,100.382676626225
2018,D,22840199.4828761,181300,3,8,1232647.37761211,12470,0,5.39683280146596e-002,6.87810259238831e-002,133835.840465404,586,NTB__Omni,_Omni,1287333.17757735,12077,0.1039636,4.852198e-002,228.388806254956
2018,D,19141348.8175062,144468,3,9,1275957.3543973,11611,0,6.66597409912063e-002,8.03707395409364e-002,1213128.93409395,10931,NTB_1,1,1305329.96449995,11316,0.9293658,0.9659774,110.980599587774
2018,D,19141348.8175062,144468,3,9,1275957.3543973,11611,0,6.66597409912063e-002,8.03707395409364e-002,92201.0304059982,385,NTB__Omni,_Omni,1305329.96449995,11316,7.063427e-002,3.402262e-002,239.483195859736
2018,D,25125217.6664745,223096,4,10,1680091.64821076,20050,0,6.68687400249899e-002,8.98716247713989e-002,1608600.6171248,19043,NTB_1,1,1706092.50799584,19569,0.9428566,0.9731207,84.4720168631411
2018,D,25125217.6664745,223096,4,10,1680091.64821076,20050,0,6.68687400249899e-002,8.98716247713989e-002,97491.890871048,526,NTB__Omni,_Omni,1706092.50799584,19569,5.714338e-002,2.687925e-002,185.345800135072
2018,D,21032076.0773907,207167,4,11,1414998.63686299,18696,0,6.72781246918418e-002,9.02460333933493e-002,1357022.88575053,17545,NTB_1,1,1460482.37724948,18247,0.9291607,0.9615279,77.3452770447724
2018,D,21032076.0773907,207167,4,11,1414998.63686299,18696,0,6.72781246918418e-002,9.02460333933493e-002,103459.491498947,702,NTB__Omni,_Omni,1460482.37724948,18247,7.083926e-002,3.847208e-002,147.378193018443
2018,D,13181980.3153505,144303,4,12,507729.260774374,7225,0,3.85169184468527e-002,5.00682591491514e-002,486277.831014395,6808,NTB_1,1,516137.400934275,7031,0.942148,0.9682833,71.4274134862507
2018,D,13181980.3153505,144303,4,12,507729.260774374,7225,0,3.85169184468527e-002,5.00682591491514e-002,29859.5699198805,223,NTB__Omni,_Omni,516137.400934275,7031,5.785198e-002,3.171668e-002,133.899416681078
2018,R,25984910.8075265,162619,1,1,1538750.39162105,11556,0,5.92170742096738e-002,7.10618070459171e-002,1466224.16159659,11133,NTB_1,1,1529372.84158414,11357,0.9587094,0.9802765,131.700724117183
2018,R,25984910.8075265,162619,1,1,1538750.39162105,11556,0,5.92170742096738e-002,7.10618070459171e-002,63148.6799875498,224,NTB__Omni,_Omni,1529372.84158414,11357,4.129057e-002,1.972352e-002,281.913749944419
2018,R,46923019.5253469,278165,1,2,3182237.02819238,23166,0,6.78182491319298e-002,8.32815055812198e-002,2944172.31839046,21831,NTB_1,1,3124862.46806233,22473,0.9421766,0.9714324,134.86199983466
2018,R,46923019.5253469,278165,1,2,3182237.02819238,23166,0,6.78182491319298e-002,8.32815055812198e-002,180690.149671867,642,NTB__Omni,_Omni,3124862.46806233,22473,5.782339e-002,2.856761e-002,281.448831264591
